question_id,parsed_result_answer,prompt,desc_id,given_info,question,answer,meta,reasoning,model_id,background,rung,n_edges,n_vars,simpson,anticommonsense,nonsense,has_anticommonsense
10188,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Maternal smoking status has a direct effect on infant's birth weight and infant mortality. Health condition has a direct effect on infant's birth weight and infant mortality. Infant's birth weight has a direct effect on infant mortality. Health condition is unobserved.
        


We know that smoking mother or good health causes normal infant birth weight. smoking mother and good health and normal infant birth weight causes high infant mortality. We observed the person has poor health.



Would infant mortality is high if nonsmoking mother instead of smoking mother?",smoke_birthWeight-arrowhead-det-counterfactual-model3328-spec0-q0,We know that smoking mother or good health causes normal infant birth weight. smoking mother and good health and normal infant birth weight causes high infant mortality. We observed the person has poor health.,Would infant mortality is high if nonsmoking mother instead of smoking mother?,no,"{'story_id': 'smoke_birthWeight', 'graph_id': 'arrowhead', 'given_info': {'V2': 0}, 'formal_form': 'Y_{X=0} = 1 | V2=0', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 3328}","{'step0': ""Let V2 = health condition; X = maternal smoking status; V3 = infant's birth weight; Y = infant mortality."", 'step1': 'X->V3,V2->V3,X->Y,V2->Y,V3->Y', 'step2': 'Y_{X=0} = 1 | V2=0', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 0\nV3 = X or V2\nY = X and V2 and V3', 'step5': 'Y = 0 = 0 and 0 and 0', 'end': '0'}",3328,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Maternal smoking status has a direct effect on infant's birth weight and infant mortality. Health condition has a direct effect on infant's birth weight and infant mortality. Infant's birth weight has a direct effect on infant mortality. Health condition is unobserved.",3,5,4,,,,False
1240,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Vaccination status has a direct effect on vaccination reaction and getting smallpox. Getting smallpox has a direct effect on smallpox survival. Vaccination reaction has a direct effect on smallpox survival.
        


For unvaccinated individuals, the probability of smallpox survival is 33%. For vaccinated individuals, the probability of smallpox survival is 34%.



Will vaccination decrease the chance of smallpox survival?",vaccine_kills-diamond-ate-model282-spec12-q1,"For unvaccinated individuals, the probability of smallpox survival is 33%. For vaccinated individuals, the probability of smallpox survival is 34%.",Will vaccination decrease the chance of smallpox survival?,no,"{'story_id': 'vaccine_kills', 'graph_id': 'diamond', 'treated': True, 'result': True, 'polarity': False, 'groundtruth': 0.0124663853, 'query_type': 'ate', 'rung': 2, 'formal_form': 'E[Y | do(X = 1)] - E[Y | do(X = 0)]', 'given_info': {'p(Y | X)': [0.3279991202, 0.3404655055]}, 'estimand': 'P(Y=1|X=1) - P(Y=1|X=0)', 'treatment': 'X', 'outcome': 'Y', 'model_id': 282}","{'step0': 'Let X = vaccination status; V3 = vaccination reaction; V2 = getting smallpox; Y = smallpox survival.', 'step1': 'X->V3,X->V2,V2->Y,V3->Y', 'step2': 'E[Y | do(X = 1)] - E[Y | do(X = 0)]', 'step3': 'P(Y=1|X=1) - P(Y=1|X=0)', 'step4': 'P(Y=1 | X=0) = 0.33\nP(Y=1 | X=1) = 0.34', 'step5': '0.34 - 0.33 = 0.01', 'end': '0.01 > 0'}",282,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Vaccination status has a direct effect on vaccination reaction and getting smallpox. Getting smallpox has a direct effect on smallpox survival. Vaccination reaction has a direct effect on smallpox survival.",2,4,4,,,,False
29633,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Swoy has a direct effect on rixq and xevu. Rixq has a direct effect on zuph. Zuph has a direct effect on xevu. Swoy is unobserved.
        


We know that swoy causes rixq. rixq causes not zuph. swoy or zuph causes xevu. We observed an individual is swoy.



Would an individual is xevu if not rixq instead of rixq?",nonsense0-frontdoor-det-counterfactual-model3498-spec0-q4,We know that swoy causes rixq. rixq causes not zuph. swoy or zuph causes xevu. We observed an individual is swoy.,Would an individual is xevu if not rixq instead of rixq?,yes,"{'story_id': 'nonsense0', 'graph_id': 'frontdoor', 'given_info': {'V1': 1}, 'formal_form': 'Y_{X=0} = 1 | V1=1', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 3498}","{'step0': 'Let V1 = swoy; X = rixq; V3 = zuph; Y = xevu.', 'step1': 'V1->X,X->V3,V1->Y,V3->Y', 'step2': 'Y_{X=0} = 1 | V1=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V1 = 1\nX = V1\nV3 = not X\nY = V1 or V3', 'step5': 'Y = 1 = 1 or 1', 'end': '1'}",3498,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Swoy has a direct effect on rixq and xevu. Rixq has a direct effect on zuph. Zuph has a direct effect on xevu. Swoy is unobserved.",3,4,4,,,1.0,False
9713,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Medication has a direct effect on blood pressure and heart condition. Blood pressure has a direct effect on heart condition.
        


We know that taking medication causes high blood pressure. taking medication and high blood pressure causes healthy heart.



Would the person experiences a heart problems if taking medication instead of not taking medication?",blood_pressure-mediation-det-counterfactual-model3255-spec3-q3,We know that taking medication causes high blood pressure. taking medication and high blood pressure causes healthy heart.,Would the person experiences a heart problems if taking medication instead of not taking medication?,no,"{'story_id': 'blood_pressure', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=1} = 0 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 0, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 3255}","{'step0': 'Let X = medication; V2 = blood pressure; Y = heart condition.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=1} = 0 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nY = X and V2', 'step5': 'Y = 1 = 1 and 1', 'end': '0'}",3255,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Medication has a direct effect on blood pressure and heart condition. Blood pressure has a direct effect on heart condition.",3,3,3,,,,False
21675,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kwox has a direct effect on kwoz. Swoq has a direct effect on kwoz.
        


Method 1: We look at how kwox correlates with kwoz case by case according to swoq. Method 2: We look directly at how kwox correlates with kwoz in general.



To understand how kwox affects kwoz, is it more correct to use the Method 1 than Method 2?",nonsense1-fork-backadj-model2415-spec5-q0,Method 1: We look at how kwox correlates with kwoz case by case according to swoq. Method 2: We look directly at how kwox correlates with kwoz in general.,"To understand how kwox affects kwoz, is it more correct to use the Method 1 than Method 2?",no,"{'story_id': 'nonsense1', 'graph_id': 'fork', 'flipped': True, 'polarity': True, 'groundtruth': [], 'bad_candidate_set': ['V2'], 'given_info': [['V2'], []], 'query_type': 'backadj', 'rung': 2, 'formal_form': '[backdoor adjustment set for Y given X]', 'treatment': 'X', 'outcome': 'Y', 'model_id': 2415}",,2415,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Kwox has a direct effect on kwoz. Swoq has a direct effect on kwoz.",2,2,3,,,1.0,False
453,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The captain has a direct effect on the private and the corporal. The corporal has a direct effect on prisoner. The private has a direct effect on prisoner.
        


For captains who release prisoners, the probability of the prisoner's death is 20%. For captains who execute prisoners, the probability of the prisoner's death is 69%.



Will the captain's order to execute the prisoner decrease the chance of the prisoner's death?",firing_squad-diamond-ate-model102-spec12-q1,"For captains who release prisoners, the probability of the prisoner's death is 20%. For captains who execute prisoners, the probability of the prisoner's death is 69%.",Will the captain's order to execute the prisoner decrease the chance of the prisoner's death?,no,"{'story_id': 'firing_squad', 'graph_id': 'diamond', 'treated': True, 'result': True, 'polarity': False, 'groundtruth': 0.4957981487, 'query_type': 'ate', 'rung': 2, 'formal_form': 'E[Y | do(X = 1)] - E[Y | do(X = 0)]', 'given_info': {'p(Y | X)': [0.1977348608, 0.6935330096]}, 'estimand': 'P(Y=1|X=1) - P(Y=1|X=0)', 'treatment': 'X', 'outcome': 'Y', 'model_id': 102}","{'step0': 'Let X = the captain; V3 = the private; V2 = the corporal; Y = prisoner.', 'step1': 'X->V3,X->V2,V2->Y,V3->Y', 'step2': 'E[Y | do(X = 1)] - E[Y | do(X = 0)]', 'step3': 'P(Y=1|X=1) - P(Y=1|X=0)', 'step4': 'P(Y=1 | X=0) = 0.20\nP(Y=1 | X=1) = 0.69', 'step5': '0.69 - 0.20 = 0.50', 'end': '0.50 > 0'}",102,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The captain has a direct effect on the private and the corporal. The corporal has a direct effect on prisoner. The private has a direct effect on prisoner.",2,4,4,,,,False
4217,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on smoking and lung cancer. Smoking has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer. Gender is unobserved.
        


Method 1: We look at how smoking correlates with lung cancer case by case according to gender. Method 2: We look directly at how smoking correlates with lung cancer in general.



To understand how smoking affects lung cancer, is it more correct to use the Method 1 than Method 2?",smoking_frontdoor-frontdoor-backadj-model971-spec11-q1,Method 1: We look at how smoking correlates with lung cancer case by case according to gender. Method 2: We look directly at how smoking correlates with lung cancer in general.,"To understand how smoking affects lung cancer, is it more correct to use the Method 1 than Method 2?",yes,"{'story_id': 'smoking_frontdoor', 'graph_id': 'frontdoor', 'flipped': False, 'polarity': True, 'groundtruth': ['V1'], 'bad_candidate_set': [], 'given_info': [['V1'], []], 'query_type': 'backadj', 'rung': 2, 'formal_form': '[backdoor adjustment set for Y given X]', 'treatment': 'X', 'outcome': 'Y', 'model_id': 971}",,971,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on smoking and lung cancer. Smoking has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer. Gender is unobserved.",2,4,4,,,,False
18761,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on treatment and peanut allergy. Treatment has a direct effect on peanut allergy.
        


For patients who are not male and not receiving treatment, the probability of being allergic to peanuts is 98%. For patients who are not male and receiving treatment, the probability of being allergic to peanuts is 67%. For patients who are male and not receiving treatment, the probability of being allergic to peanuts is 41%. For patients who are male and receiving treatment, the probability of being allergic to peanuts is 10%. The overall probability of male gender is 43%.



Will receives treatment decrease the chance of being allergic to peanuts?",simpson_drug-confounding-ate-model5781-spec17-q1,"For patients who are not male and not receiving treatment, the probability of being allergic to peanuts is 98%. For patients who are not male and receiving treatment, the probability of being allergic to peanuts is 67%. For patients who are male and not receiving treatment, the probability of being allergic to peanuts is 41%. For patients who are male and receiving treatment, the probability of being allergic to peanuts is 10%. The overall probability of male gender is 43%.",Will receives treatment decrease the chance of being allergic to peanuts?,yes,"{'story_id': 'simpson_drug', 'graph_id': 'confounding', 'treated': True, 'result': True, 'polarity': False, 'groundtruth': -0.316652745, 'query_type': 'ate', 'rung': 2, 'formal_form': 'E[Y | do(X = 1)] - E[Y | do(X = 0)]', 'given_info': {'p(Y | V1, X)': [[0.9831953825, 0.6673806746000001], [0.4145432781, 0.09678612800000001]], 'p(V1)': [0.4314347626]}, 'estimand': '\\sum_{V1=v} P(V1=v)*[P(Y=1|V1=v,X=1) - P(Y=1|V1=v, X=0)]', 'treatment': 'X', 'outcome': 'Y', 'model_id': 5781}","{'step0': 'Let V1 = gender; X = treatment; Y = peanut allergy.', 'step1': 'V1->X,V1->Y,X->Y', 'step2': 'E[Y | do(X = 1)] - E[Y | do(X = 0)]', 'step3': '\\sum_{V1=v} P(V1=v)*[P(Y=1|V1=v,X=1) - P(Y=1|V1=v, X=0)]', 'step4': 'P(Y=1 | V1=0, X=0) = 0.98\nP(Y=1 | V1=0, X=1) = 0.67\nP(Y=1 | V1=1, X=0) = 0.41\nP(Y=1 | V1=1, X=1) = 0.10\nP(V1=1) = 0.43', 'step5': '0.57 * (0.67 - 0.98) + 0.43 * (0.10 - 0.41) = -0.32', 'end': '-0.32 < 0'}",5781,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on treatment and peanut allergy. Treatment has a direct effect on peanut allergy.",2,3,3,1.0,"{'variable': 'Y', 'change': 'is allergic to peanuts'}",,True
24830,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Jyka has a direct effect on zuph and glimx. Zuph has a direct effect on glimx.
        


Method 1: We look directly at how zuph correlates with glimx in general. Method 2: We look at this correlation case by case according to jyka.



To understand how zuph affects glimx, is it more correct to use the Method 1 than Method 2?",nonsense9-confounding-backadj-model3141-spec1-q0,Method 1: We look directly at how zuph correlates with glimx in general. Method 2: We look at this correlation case by case according to jyka.,"To understand how zuph affects glimx, is it more correct to use the Method 1 than Method 2?",no,"{'story_id': 'nonsense9', 'graph_id': 'confounding', 'flipped': True, 'polarity': True, 'groundtruth': ['V1'], 'bad_candidate_set': [], 'given_info': [[], ['V1']], 'query_type': 'backadj', 'rung': 2, 'formal_form': '[backdoor adjustment set for Y given X]', 'treatment': 'X', 'outcome': 'Y', 'model_id': 3141}",,3141,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Jyka has a direct effect on zuph and glimx. Zuph has a direct effect on glimx.",2,3,3,,,1.0,False
22032,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Xevo has a direct effect on tijw and tijv. Tijv has a direct effect on gyzp. Tijw has a direct effect on gyzp.
        


Method 1: We look at how xevo correlates with gyzp case by case according to tijw. Method 2: We look directly at how xevo correlates with gyzp in general.



To understand how xevo affects gyzp, is it more correct to use the Method 1 than Method 2?",nonsense2-diamond-backadj-model2498-spec8-q0,Method 1: We look at how xevo correlates with gyzp case by case according to tijw. Method 2: We look directly at how xevo correlates with gyzp in general.,"To understand how xevo affects gyzp, is it more correct to use the Method 1 than Method 2?",no,"{'story_id': 'nonsense2', 'graph_id': 'diamond', 'flipped': True, 'polarity': True, 'groundtruth': [], 'bad_candidate_set': ['V3'], 'given_info': [['V3'], []], 'query_type': 'backadj', 'rung': 2, 'formal_form': '[backdoor adjustment set for Y given X]', 'treatment': 'X', 'outcome': 'Y', 'model_id': 2498}",,2498,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Xevo has a direct effect on tijw and tijv. Tijv has a direct effect on gyzp. Tijw has a direct effect on gyzp.",2,4,4,,,1.0,False
9914,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on occupation and salary. Skill has a direct effect on occupation and salary. Occupation has a direct effect on salary. Skill is unobserved.
        


We know that male gender or high skill level causes white-collar job. male gender or high skill level or white-collar job causes high salary. We observed the person has a high skill level.



Would the employee has a high salary if non-male gender instead of male gender?",gender_pay-arrowhead-det-counterfactual-model3287-spec3-q4,We know that male gender or high skill level causes white-collar job. male gender or high skill level or white-collar job causes high salary. We observed the person has a high skill level.,Would the employee has a high salary if non-male gender instead of male gender?,yes,"{'story_id': 'gender_pay', 'graph_id': 'arrowhead', 'given_info': {'V2': 1}, 'formal_form': 'Y_{X=0} = 1 | V2=1', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 3287}","{'step0': 'Let V2 = skill; X = gender; V3 = occupation; Y = salary.', 'step1': 'X->V3,V2->V3,X->Y,V2->Y,V3->Y', 'step2': 'Y_{X=0} = 1 | V2=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 1\nV3 = X or V2\nY = X or V2 or V3', 'step5': 'Y = 1 = 0 or 1 or 1', 'end': '1'}",3287,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on occupation and salary. Skill has a direct effect on occupation and salary. Occupation has a direct effect on salary. Skill is unobserved.",3,5,4,,,,False
3668,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Age has a direct effect on hospital costs and recovery. Hospital costs has a direct effect on recovery.
        


For patients who are young and pay a low hospital bill, the probability of recovery is 12%. For patients who are young and pay a high hospital bill, the probability of recovery is 23%. For patients who are old and pay a low hospital bill, the probability of recovery is 87%. For patients who are old and pay a high hospital bill, the probability of recovery is 99%. The overall probability of old age is 45%.



For people who pay a high hospital bill, would it be more likely to see recovery if the patient had paid a low hospital bill?",simpson_hospital-confounding-ett-model845-spec5-q0,"For patients who are young and pay a low hospital bill, the probability of recovery is 12%. For patients who are young and pay a high hospital bill, the probability of recovery is 23%. For patients who are old and pay a low hospital bill, the probability of recovery is 87%. For patients who are old and pay a high hospital bill, the probability of recovery is 99%. The overall probability of old age is 45%.","For people who pay a high hospital bill, would it be more likely to see recovery if the patient had paid a low hospital bill?",no,"{'story_id': 'simpson_hospital', 'graph_id': 'confounding', 'treated': True, 'result': True, 'polarity': True, 'groundtruth': 0.1063169966, 'query_type': 'ett', 'rung': 3, 'formal_form': 'E[Y_{X = 1} - Y_{X = 0} | X = 1]', 'given_info': {'p(Y | V1, X)': [[0.1249701892, 0.22944313060000002], [0.8741471668, 0.9917949894]], 'p(V1)': [0.45181961140000004]}, 'estimand': '\\sum_{V1=v} P(V1=v|X=1)*[P(Y=1|V1=v,X=1) - P(Y=1|V1=v, X=0)]', 'treatment': 'X', 'outcome': 'Y', 'model_id': 845}","{'step0': 'Let V1 = age; X = hospital costs; Y = recovery.', 'step1': 'V1->X,V1->Y,X->Y', 'step2': 'E[Y_{X = 1} - Y_{X = 0} | X = 1]', 'step3': '\\sum_{V1=v} P(V1=v|X=1)*[P(Y=1|V1=v,X=1) - P(Y=1|V1=v, X=0)]', 'step4': 'P(Y=1 | V1=0, X=0) = 0.12\nP(Y=1 | V1=0, X=1) = 0.23\nP(Y=1 | V1=1, X=0) = 0.87\nP(Y=1 | V1=1, X=1) = 0.99\nP(V1=1) = 0.45', 'step5': '0.55 * (0.23 - 0.12) + 0.45 * (0.99 - 0.87) = 0.11', 'end': '0.11 > 0'}",845,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Age has a direct effect on hospital costs and recovery. Hospital costs has a direct effect on recovery.",3,3,3,1.0,,,False
11344,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Tanning salon treatment has a direct effect on foot size. Going to the beach has a direct effect on foot size.
        


The overall probability of tanning salon treatment is 7%. The probability of no tanning salon treatment and large feet is 26%. The probability of tanning salon treatment and large feet is 5%.



Is the chance of large feet smaller when observing tanning salon treatment?",getting_tanned-fork-correlation-model1332-spec12-q1,The overall probability of tanning salon treatment is 7%. The probability of no tanning salon treatment and large feet is 26%. The probability of tanning salon treatment and large feet is 5%.,Is the chance of large feet smaller when observing tanning salon treatment?,no,"{'story_id': 'getting_tanned', 'graph_id': 'fork', 'given_info': {'P(X=1)': 0.071235066, 'P(Y=1, X=0)': 0.2579258209, 'P(Y=1, X=1)': 0.0539228257}, 'treated': True, 'polarity': False, 'groundtruth': 0.479261853, 'query_type': 'correlation', 'rung': 1, 'formal_form': 'P(Y | X)', 'treatment': 'X', 'outcome': 'Y', 'model_id': 1332}","{'step0': 'Let V2 = going to the beach; X = tanning salon treatment; Y = foot size.', 'step1': 'X->Y,V2->Y', 'step2': 'P(Y | X)', 'step3': 'P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)', 'step4': 'P(X=1=1) = 0.07\nP(Y=1, X=0=1) = 0.26\nP(Y=1, X=1=1) = 0.05', 'step5': '0.05/0.07 - 0.26/0.93 = 0.48', 'end': '0.48 > 0'}",1332,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Tanning salon treatment has a direct effect on foot size. Going to the beach has a direct effect on foot size.",1,2,3,,"{'variable': 'Y', 'change': 'foot size'}",,True
1665,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Unobserved confounders has a direct effect on drug taken and cholesterol level. Treatment assignment has a direct effect on drug taken. Drug taken has a direct effect on cholesterol level. Unobserved confounders is unobserved.
        


The overall probability of taking of all assigned drugs is 27%. For patients that have not taken any drugs, the probability of low cholesterol is 14%. For patients that have taken all assigned drugs, the probability of low cholesterol is 34%.



Is low cholesterol more likely than high cholesterol overall?",cholesterol-IV-marginal-model387-spec27-q0,"The overall probability of taking of all assigned drugs is 27%. For patients that have not taken any drugs, the probability of low cholesterol is 14%. For patients that have taken all assigned drugs, the probability of low cholesterol is 34%.",Is low cholesterol more likely than high cholesterol overall?,no,"{'story_id': 'cholesterol', 'graph_id': 'IV', 'given_info': {'P(X)': 0.27425113830000003, 'P(Y | X)': [0.1381529538, 0.34317118280000003]}, 'treated': True, 'polarity': True, 'groundtruth': 0.19466510750000002, 'query_type': 'marginal', 'rung': 1, 'formal_form': 'P(Y)', 'treatment': 'X', 'outcome': 'Y', 'model_id': 387}","{'step0': 'Let V2 = treatment assignment; V1 = unobserved confounders; X = drug taken; Y = cholesterol level.', 'step1': 'V1->X,V2->X,V1->Y,X->Y', 'step2': 'P(Y)', 'step3': 'P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)', 'step4': 'P(X=1) = 0.27\nP(Y=1 | X=0) = 0.14\nP(Y=1 | X=1) = 0.34', 'step5': '0.27*0.34 - 0.73*0.14 = 0.19', 'end': '0.19 > 0'}",387,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Unobserved confounders has a direct effect on drug taken and cholesterol level. Treatment assignment has a direct effect on drug taken. Drug taken has a direct effect on cholesterol level. Unobserved confounders is unobserved.",1,4,4,,,,False
11665,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a brother has a direct effect on vaccination reaction and getting smallpox. Getting smallpox has a direct effect on smallpox survival. Vaccination reaction has a direct effect on smallpox survival.
        


Method 1: We look directly at how having a brother correlates with smallpox survival in general. Method 2: We look at this correlation case by case according to vaccination reaction.



To understand how having a brother affects smallpox survival, is it more correct to use the Method 1 than Method 2?",vaccine_kills-diamond-backadj-model1397-spec17-q1,Method 1: We look directly at how having a brother correlates with smallpox survival in general. Method 2: We look at this correlation case by case according to vaccination reaction.,"To understand how having a brother affects smallpox survival, is it more correct to use the Method 1 than Method 2?",yes,"{'story_id': 'vaccine_kills', 'graph_id': 'diamond', 'flipped': False, 'polarity': True, 'groundtruth': [], 'bad_candidate_set': ['V3'], 'given_info': [[], ['V3']], 'query_type': 'backadj', 'rung': 2, 'formal_form': '[backdoor adjustment set for Y given X]', 'treatment': 'X', 'outcome': 'Y', 'model_id': 1397}",,1397,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Having a brother has a direct effect on vaccination reaction and getting smallpox. Getting smallpox has a direct effect on smallpox survival. Vaccination reaction has a direct effect on smallpox survival.",2,4,4,,"{'variable': 'X', 'change': 'has a brother'}",,True
29073,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Hwax has a direct effect on kraz and pexu. Pexu has a direct effect on rukz. Kraz has a direct effect on rukz.
        


The overall probability of pexu is 82%. The probability of not pexu and rukz is 13%. The probability of pexu and rukz is 47%.



Is the chance of rukz larger when observing pexu?",nonsense8-diamondcut-correlation-model6950-spec6-q0,The overall probability of pexu is 82%. The probability of not pexu and rukz is 13%. The probability of pexu and rukz is 47%.,Is the chance of rukz larger when observing pexu?,no,"{'story_id': 'nonsense8', 'graph_id': 'diamondcut', 'given_info': {'P(X=1)': 0.8187126107, 'P(Y=1, X=0)': 0.1274562987, 'P(Y=1, X=1)': 0.4741651288}, 'treated': True, 'polarity': True, 'groundtruth': -0.1239027038, 'query_type': 'correlation', 'rung': 1, 'formal_form': 'P(Y | X)', 'treatment': 'X', 'outcome': 'Y', 'model_id': 6950}","{'step0': 'Let V1 = hwax; V3 = kraz; X = pexu; Y = rukz.', 'step1': 'V1->V3,V1->X,X->Y,V3->Y', 'step2': 'P(Y | X)', 'step3': 'P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)', 'step4': 'P(X=1=1) = 0.82\nP(Y=1, X=0=1) = 0.13\nP(Y=1, X=1=1) = 0.47', 'step5': '0.47/0.82 - 0.13/0.18 = -0.12', 'end': '-0.12 < 0'}",6950,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Hwax has a direct effect on kraz and pexu. Pexu has a direct effect on rukz. Kraz has a direct effect on rukz.",1,4,4,,,1.0,False
9656,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Tanning salon treatment has a direct effect on skin. Going to the beach has a direct effect on skin.
        


We know that tanning salon treatment or going to the beach causes tanned skin. We observed the person goes to the beach.



Would the person has tanned skin if tanning salon treatment instead of no tanning salon treatment?",getting_tanned-fork-det-counterfactual-model3242-spec0-q6,We know that tanning salon treatment or going to the beach causes tanned skin. We observed the person goes to the beach.,Would the person has tanned skin if tanning salon treatment instead of no tanning salon treatment?,yes,"{'story_id': 'getting_tanned', 'graph_id': 'fork', 'given_info': {'V2': 1}, 'formal_form': 'Y_{X=1} = 1 | V2=1', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 3242}","{'step0': 'Let V2 = going to the beach; X = tanning salon treatment; Y = skin.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=1} = 1 | V2=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 1\nY = X or V2', 'step5': 'Y = 1 = 1 or 1', 'end': '1'}",3242,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Tanning salon treatment has a direct effect on skin. Going to the beach has a direct effect on skin.",3,2,3,,,,False
30419,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Yupt has a direct effect on qwiu and jyka. Jyka has a direct effect on kwox. Qwiu has a direct effect on kwox.
        


We know that yupt causes not jyka and qwiu. jyka or qwiu causes kwox. We observed an individual is yupt.



Would an individual is kwox if jyka instead of not jyka?",nonsense5-diamondcut-det-counterfactual-model3694-spec0-q6,We know that yupt causes not jyka and qwiu. jyka or qwiu causes kwox. We observed an individual is yupt.,Would an individual is kwox if jyka instead of not jyka?,yes,"{'story_id': 'nonsense5', 'graph_id': 'diamondcut', 'given_info': {'V1': 1}, 'formal_form': 'Y_{X=1} = 1 | V1=1', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 3694}","{'step0': 'Let V1 = yupt; V3 = qwiu; X = jyka; Y = kwox.', 'step1': 'V1->V3,V1->X,X->Y,V3->Y', 'step2': 'Y_{X=1} = 1 | V1=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V1 = 1\nX = V1\nV3 = not X\nY = X or V3', 'step5': 'Y = 1 = 1 or 0', 'end': '1'}",3694,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Yupt has a direct effect on qwiu and jyka. Jyka has a direct effect on kwox. Qwiu has a direct effect on kwox.",3,4,4,,,1.0,False
